
************************************************************
01月01日

1085年1月1日 《资治通鉴》编成
1981年7月29日 查尔斯王子和戴安娜公主在伦敦举行结婚典礼
1986年7月29日 “两弹”元勋邓稼先逝世
1988年7月29日 党员干部犯错误给予党纪处分
1994年7月29日 意大利前总理克拉克西被判刑
1836年7月29日 法国巴黎凯旋门建成
1996年7月29日 中国政府宣布暂停核试验
1996年7月29日 日本首相桥本参拜靖国神社

************************************************************
07月30日

1085年7月30日 北宋废除新法
1784年7月30日 法国哲学家狄德罗逝世
1862年7月30日 徐寿和华蘅芳合作制成轮船汽机
1863年7月30日 工业之父亨利・福特诞辰
1903年7月30日 “布尔什维克”和“孟什维克”两派对立
1907年7月30日 日俄共同谋划分裂中国
1912年7月30日 日本明治天皇病亡
1932年7月30日 中国首次参加奥运会
1937年7月30日 平津沦陷
1943年7月30日 毛泽东作出敌后工作指示
1947年7月30日 世界著名电影演员施瓦辛格生日
1955年7月30日 《中华人民共和国兵役法》公布施行
1972年7月30日 水门窃听事件尼克松败诉，弹劾开始
1972年7月30日 马王堆汉墓女尸出土
1973年7月30日 欧洲安全与合作会议召开
1980年7月30日 瓦努阿图共和国成立
1982年7月30日 中共中央召开政治局扩大会议
1984年7月30日 许海峰为我国赢得第一枚奥运金牌
1984年7月30日 我国第一条高原铁路西宁至格尔木段交付使用
1992年7月30日 中国正式加入“世界版权公约”
1998年7月30日 台湾女“议员”林滴娟在辽宁被发现以药物注射致死
1998年7月30日 小渊惠三当选日本首相
1905年7月30日 同盟会筹备会议召开
1923年7月30日 中国自行设计生产第一架飞机

************************************************************
07月31日

1886年7月31日 李斯特逝世
1910年7月31日 美国画家霍默去世
1920年7月31日 伯尔尼国际成立
1937年7月31日 “七君子”出狱
1971年7月31日 人类首次月球车行驶
1903年7月31日 沈荩被刑部杖毙
1975年7月31日 西方七国首脑会议制度化
1985年7月31日 第一届十六岁以下世界足球赛在中国举行
1987年7月31日 麦加惨案
1989年7月31日 文艺理论家周扬逝世
1991年7月31日 美苏达成削减战略武器条约
1998年7月31日 北京市高级人民法院对陈希同案公开宣判
2000年7月31日 成克杰被判处死刑
1958年7月31日 赫鲁晓夫秘密访华
1955年7月31日 毛泽东作《关于农业合作化问题》的报告
1911年7月31日 同盟会中部总会成立

************************************************************
08月01日

1894年8月1日 中日两国宣战，甲午战争全面爆发
1896年8月1日 中国第一次放映电影
1914年8月1日 德国首先向俄国宣战  “一战”爆发
1916年8月1日 黎元洪就任大总统
1921年8月1日 毛泽东创办湖南自修大学
1929年8月1日 上海反帝大同盟成立
1920年8月1日 印度民族解放运动开始不合作运动
1930年8月1日 中国左翼戏剧家联盟成立
1935年8月1日 中共中央发表抗日救国的《八一宣言》
1936年8月1日 红四方面军三过草地
1938年8月1日 苏军在中苏边境击退日军进攻
1942年8月1日 东北抗日联军撤入苏联境内
1944年8月1日 波兰华沙起义
1950年8月1日 中国民航正式开航
1952年8月1日 “人民英雄纪念碑”动工兴建
1952年8月1日 八一电影制片厂创建
1955年8月1日 中美首次举行大使级会谈
1960年8月1日 中国人民革命军事博物馆开馆
1974年8月1日 核动力潜艇正式装备海军
2001年8月1日 出口收汇系统正式运行
1955年8月1日 我国与尼泊尔建交
1915年8月1日 “袁大头”成为法定国币
1927年8月1日 南昌起义

************************************************************
08月02日

1916年8月2日 邵飘萍创办新闻编译社
1918年8月2日 庄士敦成为溥仪的英语教师
1922年8月2日 电话发明者贝尔逝世
1922年8月2日 中国20世纪死亡最多的一次台风灾害----广东汕头8．2台风
1934年8月2日 兴登堡逝世，希特勒继任德国总统
1939年8月2日 爱因斯坦致函罗斯福，建议美国务必抢在德国之前制造出原子弹
1959年8月2日 庐山会议批判彭黄张周“反党集团”
1964年8月2日 越南战争升级
1984年8月2日 中英就香港问题达成共识
1974年8月2日 我国第一批援藏教师奔赴西藏
1990年8月2日 伊拉克军队进攻科威特
1999年8月2日 印度两列火车相撞　几百人梦中丢命
2001年8月2日 祖国大陆客轮首航马祖
1936年8月2日 抗日女英雄赵一曼英勇就义

************************************************************
08月03日

1492年8月3日 哥伦布第一次远航
1978年8月3日 军事家罗瑞卿逝世
1904年8月3日 英军侵占西藏地方首府拉萨
1994年8月3日 海协负责人首次赴台落实汪辜会谈协议成果
2002年8月3日 陈水扁公然声称“台湾跟对岸中国一边一国”，在台湾社会引起强烈震动，受到舆论和各界的质疑。
2002年8月3日 英格兰发现军团病
1986年8月3日 建国后首次企业宣告破产

************************************************************
08月04日

1875年8月4日 丹麦作家安徒生逝世
1900年8月4日 中国东北瑷珲城火烧案
1913年8月4日 孙中山等大批党人出逃日本
1931年8月4日 长江暴发特大洪水淹死十四万余人
1942年8月4日 中国远征军全部退出缅甸
1949年8月4日 程潜、陈明仁率部反蒋投诚
1971年8月4日 我国与土耳其建交
1996年8月4日 第三十届国际地质大会在北京召开
1998年8月4日 长江学者奖励计划全面启动

************************************************************
08月05日

1895年8月5日 恩格斯病逝
1919年8月5日 土耳其民族主义运动爆发
1948年8月5日 国民党与美国签订《美国与中国的关系》“白皮书”
1950年8月5日 国民党中央改造委员会在台北成立
1963年8月5日 苏美英签署部分禁止核试验条约
1967年8月5日 天安门广场百万人批判刘邓陶
1990年8月5日 作家周克芹在成都病逝
1997年8月5日 朝鲜问题四方会谈首次预备会议在纽约举行
1998年8月5日 金融大颚索罗斯攻击港元
1850年8月5日 法国小说家莫泊桑诞辰
1966年8月5日 毛泽东发表《炮打司令部――我的一张大字报》
1962年8月5日 好莱坞著名影星玛丽莲・梦露“自杀”

************************************************************
08月06日

1863年8月6日 太平天国将领石达开被害
1930年8月6日 中共成立总行动委员会
1935年8月6日 方志敏英勇就义
1952年8月6日 新中国财政首次实现收支平衡
1954年8月6日 新中国组建生产建设兵团
1940年8月6日 波罗的海三国加入苏联
1986年8月6日 使用人工心脏时间最长的病人去世
1990年8月6日 中国第一次大规模性文明调查结束
1997年8月6日 韩国一客机坠毁关岛
1998年8月6日 邓兆祥同志逝世
1945年8月6日 美国在日本广岛投掷原子弹

************************************************************
08月07日

1864年8月7日 太平天国将领李秀成被害
1904年8月7日 日俄在我国辽阳、旅顺展开争夺战
1919年8月7日 孙中山辞去政务总裁一职
1938年8月7日 表演艺术理论家斯坦尼斯拉夫斯基逝世
1947年8月7日 千里挺进大别山
1971年8月7日 “阿波罗――15号”安全着陆
1971年8月7日 中国政府声明反对召开核大国会议
1994年8月7日 国画艺术大师刘海粟辞世
1997年8月7日 铁英、黄纪诚犯受贿罪被判刑
1998年8月7日 九江市长江大堤决口
1998年8月7日 美国驻肯、坦大使馆附近相继发生爆炸
1998年8月7日 兰西拉光缆干线全线开通
2001年8月7日 东京都市民集会，抗议使用歪曲史实教科书
2002年8月7日 北京大学山鹰社登山队五名队员不幸遇难
2002年8月7日 哥伦比亚新总统宣誓就职
1941年8月7日 泰戈尔逝世
1927年8月7日 “八・七”会议

************************************************************
08月08日

1945年8月8日 苏联对日本宣战
1952年8月8日 我国实行民族区域自治
1967年8月8日 东南亚国家联盟成立
1977年8月8日 邓小平在科学和教育工作座谈会上讲话
1981年8月8日 黄植诚驾机起义回归祖国大陆
1990年8月8日 我国与印度尼西亚恢复外交关系
1995年8月8日 京津塘高速公路建成通车
1998年8月8日 旅美华人抗议迫害印尼华人暴行
1999年8月8日 第四十五届世乒赛结束　中国队囊括五金五银
1999年8月8日 我国首次使用自主研制的公用平台　“实践五号”卫星圆满完成任务
2001年8月8日 美摧毁最大儿童色情网站
2001年8月8日 第二十九届奥林匹克运动会组织委员会筹备办公室在京成立
2002年8月8日 陈俊生逝世
1966年8月8日 八届十一中全会通过“文革”十六条
1974年8月8日 尼克松因水门事件辞职
1961年8月8日 梅兰芳病逝

************************************************************
08月09日

1896年8月9日 维新派创办《时务报》
1919年8月9日 中国试制成功第一架水上飞机
1930年8月9日 中国农工民主党在上海成立
1945年8月9日 毛泽东发表《对日寇的最后一战》讲演
1965年8月9日 新加坡共和国成立
1974年8月9日 福特接替尼克松就任美国第38任总统
1975年8月9日 苏联作曲家肖斯塔科维奇逝世
1978年8月9日 我国与利比亚建交
1987年8月9日 南非黑人矿工大罢工
1996年8月9日 叶利钦总统宣誓就职
1999年8月9日 叶利钦解散斯捷帕申政府　任命普京为代总理
1999年8月9日 我国设立国家最高科技奖　获奖金额达五百万元人民币
2001年8月9日 机器人完成远程脑外科手术
1945年8月9日 苏联百万大军进攻东北日军

************************************************************
08月10日

1913年8月10日 巴尔干战争结束
1936年8月10日 中共放弃红军称号联蒋抗日
1898年8月10日 光绪帝要求内外诸臣议事莫“墨守旧章”
1945年8月10日 弹道导弹之父罗伯特・戈达德去世
1946年8月10日 陇海战役获胜
1949年8月10日 班禅十世坐床典礼举行
1991年8月10日 首次世界华商大会在新加坡举行
1992年8月10日 中国运动员在巴塞罗那奥运会取得巨大突破，闯入该届奥运会夺牌4强之列
2000年8月10日 国家产品免检工作正式启动
2000年8月10日 张健横渡渤海湾成功

************************************************************
08月11日

1566年8月11日 欧洲历史上著名的“破坏圣像运动”
1872年8月11日 中国第一批留学生启程赴美
1912年8月11日 国民党成立
1919年8月11日 卡耐基逝世
1945年8月11日 我国第一次使用“解放军”名称
1952年8月11日 约旦国王侯赛因继位
1992年8月11日 国际考察队证实存在一条游牧丝绸之路
1998年8月11日 英美两大石油巨擘合并
1999年8月11日 20世纪最后一次日全食

************************************************************
08月12日

1905年8月12日 挪威公民投票中止同瑞典的联盟
1908年8月12日 “T型”福特牌汽车问世
1949年8月12日 关于保护战争受难者的日内瓦公约签订
1961年8月12日 著名华侨陈嘉庚逝世
1978年8月12日 中日和平友好条约签字
1978年8月12日 中央决定成立港澳小组
1985年8月12日 肖华逝世
1998年8月12日 北京首批双燃料公共汽车投入运行
1989年8月12日 黄岛油库遭雷击起火爆炸
1998年8月12日 中国联通天津分公司的市话业务正式放号经营，中国电信垄断市话的局面被打破
2000年8月12日 世界上最严重的一次核潜艇事故，俄罗斯海军“库尔斯克”沉没海底
1948年8月12日 朱自清病逝

************************************************************
08月13日

1905年8月13日 挪威成为独立国家
1912年8月13日 法国医生发现癌细胞
1920年8月13日 蔡和森致信毛泽东倡议建共产党
1910年8月13日 南丁格尔逝世
1926年8月13日 古巴革命领导人卡斯特罗出生
1939年8月13日 日军占领深圳封锁香港
1937年8月13日 日军进攻上海，“八・一三”事变爆发
1945年8月13日 越南八月革命节
1997年8月13日 空客Ａ３３０―２００客机首次试飞成功
1998年8月13日 沿江内陆一批省会城市对外开放
1999年8月13日 韩国光复节实行特赦
1961年8月13日 “柏林墙”修筑
2001年8月13日 小泉执意参拜靖国神社亚洲人民表示强烈愤慨
1899年8月13日 英国著名电影导演希区柯克诞辰

************************************************************
08月14日

1900年8月14日 八国联军侵占北京
1917年8月14日 中国对德、奥宣战
1941年8月14日 大西洋宪章正式公布
1953年8月14日 苏联宣布拥有氢弹
1992年8月14日 长征二号火箭发射澳星成功
1945年8月14日 国民党同苏联签订《中苏友好同盟条约》
1960年8月14日 中共开展增产节约运动
1993年8月14日 日本资料首次证实日军曾在华使用细菌武器
1997年8月14日 科学家发现最早的人类足迹
1900年8月14日 慈禧光绪弃京出逃
1971年8月14日 毛泽东南巡并作了重要讲话

************************************************************
08月15日

1769年8月15日 法国资产阶级政治家和军事家拿破仑诞辰
1878年8月15日 我国第一套邮票发行
1913年8月15日 陈焕章、梁启超等倡议定孔教为国教
1902年8月15日 清廷收回天津都统衙门
1914年8月15日 巴拿马运河开始通航
1918年8月15日 美国与苏俄断交
1922年8月15日 孙中山发表护法宣言
1945年8月15日 日本宣布无条件投降
1950年8月15日 中国福利会成立
1962年8月15日 雷锋牺牲
1985年8月15日 日本首相首次正式参拜靖国神社
1948年8月15日 南朝鲜成立大韩民国政府，朝鲜分裂
1988年8月15日 中央决定绝大部分商品放开价格
1997年8月15日 著名民间外交家、中日友协会长孙平化逝世
2001年8月15日 金大中批评日本歪曲历史
1997年8月15日 乍得政府违背中乍建交公报原则与台“复交”  中国中止同乍得外交关系
2001年8月15日 龙门石窟等四处古迹被授予世界遗产证书
2002年8月15日 百余日本老兵证言南京大屠杀史实
1900年8月15日 珍妃玉殒

************************************************************
08月16日

1845年8月16日 法国著名物理学家李普曼出生
1900年8月16日 八国联军公开洗劫北京
1922年8月16日 中共发起劳动立法运动  发布《劳动法大纲》
1933年8月16日 苏维埃大学成立  毛泽东任校长
1933年8月16日 日军在东北设立细菌部队
1960年8月16日 塞浦路斯独立
1967年8月16日 孔祥熙病逝
1971年8月16日 我国与伊朗建交
1996年8月16日 英法合建欧洲最大导弹企业
1949年8月16日 美国作家玛格丽特・米切尔逝世
1997年8月16日 李大钊纪念馆在乐亭落成开馆
1996年8月16日 首届毛泽东诗词国际学术讨论会在京举行
1998年8月16日 北爱发生严重爆炸事件
2000年8月16日 罕见联体婴儿在渝分离成功（分离手术属世界第三例、国内首例）
2000年8月16日 我国唯一一家国有独资证券公司――中国银河证券公司成立
1977年8月16日 世界著名摇滚乐歌手“猫王”辞世

************************************************************
08月17日

1850年8月17日 南美独立战争领袖圣马丁逝世
1877年8月17日 左宗棠奏请在新疆设行省
1895年8月17日 《中外纪闻》创刊
1952年8月17日 周恩来总理访问苏联 长春铁路的中苏共管历史宣告结束
1958年8月17日 中央政治局在北戴河召开扩大会议 会议通过了《关于在农村建立人民公社的决议》
1982年8月17日 《中美“八・一七”联合公报》发表
1990年8月17日 我国建成第一台天文子午环
1988年8月17日 巴基斯坦总统哈克因专机爆炸不幸逝世
1992年8月17日 南部非洲发展共同体成立
1996年8月17日 日本成功发射两颗卫星
1996年8月17日 俄发射“联盟ＴＭ―２４”号宇宙飞船
1992年8月17日 清理三角债基本结束
1998年8月17日 克林顿就其绯闻案发表电视讲话　承认“不当”关系
1999年8月17日 土耳其发生强烈地震 1.8万人丧生
2000年8月17日 三峡库区首批移民抵上海

************************************************************
08月18日

1914年8月18日 美国总统宣布在“一战”中保持中立
1950年8月18日 第一次自然科学工作者代表会议召开
1975年8月18日 国务院公布“工业二十条”
1977年8月18日 中共“十一大”通过新党章
1996年8月18日 日本右翼势力在钓鱼岛树标
2000年8月18日 中国为伊朗建5艘超大型油轮  实现了我国超大型油轮建造上“零”的突破
2002年8月18日 国内首家民营资本占主体地位的证券公司――民生证券有限责任公司在京揭牌
2002年8月18日 国内科技馆首家数学厅在天津落成
1966年8月18日 毛泽东主席首次接见红卫兵
1980年8月18日 邓小平提出要进行党和国家领导制度的改革
1944年8月18日 德国共产党主席台尔曼被害

************************************************************
08月19日

1883年8月19日 法国著名时装设计师香奈尔诞辰
1918年8月19日 诗人李叔同出家
1945年8月19日 印度民族解放运动的领导人鲍斯逝世
1948年8月19日 国民党政府“改革币制”
1978年8月19日 红卫兵组织在历史舞台消失
1985年8月19日 北回归线塔在广州落成
1994年8月19日 中央国家机关首次招考公务员
1996年8月19日 我国与尼日尔恢复外交关系
1999年8月19日 中国保险股份有限公司改组完成
1985年8月19日 日本日中友好人士宫崎世民逝世

************************************************************
08月20日

1915年8月20日 诺贝尔医学奖获得者、德国细菌学家埃尔利希逝世
1925年8月20日 国民党左派领袖廖仲恺被刺
1950年8月20日 农村开始划分阶级成份
1968年8月20日 苏联入侵捷克斯洛伐克
1997年8月20日 “长征三号乙”运载火箭发射成功  将菲律宾马部海卫星送入预定轨道
1998年8月20日 中德首次联合发行邮票
1995年8月20日 全球汽车电话系统启用
1988年8月20日 两伊战争结束
2002年8月20日 我国正式建立集中统一的国家认可体系
1940年8月20日 百团大战
1905年8月20日 中国同盟会在东京成立

************************************************************
08月21日

1609年8月21日 世界第一架望远镜展出
1898年8月21日 清廷设立农工商总局
1935年8月21日 红军长征过草地
1937年8月21日 中苏签订《互不侵犯条约》
1945年8月21日 国民政府宣布受降区
1953年8月21日 中国少年儿童队改名为中国少年先锋队
1968年8月21日 苏捷公报公布
1983年8月21日 菲律宾著名人物贝尼尼奥・阿基诺遇刺身亡
1991年8月21日 中国市长协会在京成立
1982年8月21日 “四人帮”上海余党被判刑
1940年8月21日 俄国政治家托洛茨基遇刺身亡

************************************************************
08月22日

961年8月22日 宋太祖“杯酒释兵权”
1647年8月22日 法国发明家丹尼斯・帕平出生
1862年8月22日 法国作曲家德彪西诞辰
1868年8月22日 扬州教案发生
1880年8月22日 清政府筹办水师学堂
1910年8月22日 《日韩合并条约》签订  朝鲜沦为日本的殖民地
1922年8月22日 爱尔兰政府首脑迈克尔遭伏击身亡
1922年8月22日 《共产党宣言》中译本问世
1926年8月22日 开明书店开业
1948年8月22日 冯玉祥遇难
1954年8月22日 《解放台湾联合宣言》发表
1973年8月22日 基辛格出任国务卿
2001年8月22日 第二十一届世界大学生运动会在北京举行
1990年8月22日 “亚运之光”盛大点火仪式在北京举行
1904年8月22日 邓小平诞辰
1937年8月22日 中共中央举行洛川会议

************************************************************
08月23日

1884年8月23日 法国舰队袭击福建水师　马尾海战爆发
1930年8月23日 中国工农红军第一方面军成立
1939年8月23日 德国与苏联签订《苏德互不侵犯条约》
1942年8月23日 斯大林格勒保卫战
1944年8月23日 罗马尼亚起义
1980年8月23日 邓小平说天安门上的毛主席像要永远保留
1991年8月23日 苏联国内采取一系列针对苏共的措施
1997年8月23日 哈塔米任命伊朗首位女副总统
1999年8月23日 万国邮联大会首次在中国举行
1943年8月23日 库尔斯克战役结束

************************************************************
08月24日

1101年8月24日 北宋文学家苏轼逝世
1862年8月24日 北京同文馆成立
1911年8月24日 邮传部接管邮政、驿站
1966年8月24日 人民艺术家老舍逝世
1966年8月24日 著名哲学家、中共一大代表李达逝世
1992年8月24日 我国与韩国建交
1998年8月24日 英一教授将芯片植入自己手臂内获得成功
1922年8月24日 长辛店铁路工人罢工
1997年8月24日 世界烟草或健康大会在北京举行

************************************************************
08月25日

1227年8月25日 成吉思汗逝世
1667年8月25日 康熙亲政
1819年8月25日 发明家瓦特逝世
1867年8月25日 英国物理学家和化学家法拉第逝世
1900年8月25日 德国思想家尼采逝世
1912年8月25日 国民党组成　孙中山为理事长
1922年8月25日 马林与孙中山会面商谈国共合作问题
1936年8月25日 中共致信国民党　主张第二次合作
1958年8月25日 我国与伊拉克建交
1979年8月25日 中共重要领导人张闻天追悼会举行
1999年8月25日 韩国为避免再次陷入金融危机　出台大企业集团改革新方案
1945年8月25日 中共中央发表《对目前时局的宣言》
1918年8月25日 美国著名音乐家伯恩施坦出生
1912年8月25日 冯如试飞失事

************************************************************
08月26日

1648年8月26日 巴黎人民举行反对封建专制王权起义
1743年8月26日 现代化学的创始人拉瓦锡诞辰
1789年8月26日 法国通过《人权宣言》
1901年8月26日 陈毅诞辰
1920年8月26日 美国妇女获得选举权
1925年8月26日 国民政府统编正规军队
1970年8月26日 美国万名妇女庆祝获得选举权50周年
1980年8月26日 我国正式设立经济特区
2000年8月26日 全球华侨华人推动中国和平统一大会在柏林开幕
2002年8月26日 可持续发展世界首脑会议在南非举行
1981年8月26日 邓小平接见傅朝枢首次提出“一国两制”

************************************************************
08月27日

1770年8月27日 德国哲学家黑格尔诞辰
1847年8月27日 洪秀全与冯云山共同制定《十款天条》
1883年8月27日 喀拉喀托火山爆发
1901年8月27日 诺贝尔和平奖得主特里萨嬷嬷出生
1908年8月27日 清廷颁布《钦定宪法大纲》
1910年8月27日 爱迪生发明有声电影
1932年8月27日 国际反战大会召开
1939年8月27日 世界上第一架喷气式飞机上天
1947年8月27日 刘邓大军进入大别山地区
1965年8月27日 现代建筑艺术先驱科比西埃逝世
1912年8月27日 北京图书馆正式开馆接待读者
1993年8月27日 禹作敏违法乱纪被判徒刑
1998年8月27日 中国举办首届网上“中国技术出口交易会”
1979年8月27日 英国海军元帅蒙巴顿逝世
1871年8月27日 美国小说家德莱塞诞辰

************************************************************
08月28日

1749年8月28日 德国著名诗人、剧作家歌德诞辰
1828年8月28日 托尔斯泰出生
1953年8月28日 全国开展增产节约运动
1975年8月28日 莫拉莱斯发动政变出任秘鲁总统
1992年8月28日 我国首次拍卖破产合资企业
1999年8月28日 俄停用“和平”号空间站　结束载人飞行
2001年8月28日 反种族主义大会非政府组织论坛在南非举行
1963年8月28日 马丁・路德・金演讲：我有一个梦想
1945年8月28日 重庆谈判

************************************************************
08月29日

1862年8月29日 比利时剧作家梅特林克出生
1955年8月29日 戏剧家洪深逝世
1842年8月29日 中国近代史上第一个不平等条约《南京条约》签订
1910年8月29日 《小说月报》创刊
1958年8月29日 中共中央决定在全国农村建立人民公社
1958年8月29日 迈克尔・杰克逊出生
1963年8月29日 毛泽东发表声明　声讨美国―吴庭艳集团
1988年8月29日 苏联宇宙飞船与空间站对接成功
1984年8月29日 大陆板块漂移理论获证实
1998年8月29日 韩朝野两政党宣布合并
1999年8月29日 ’99世界邮展评审揭晓　我国首获“大金奖”和“国家大奖”
2000年8月29日 亚太出版商联合会年会首次在中国举行
1982年8月29日 世界著名影星英格丽・褒曼逝世
1997年8月29日 32年仗义执言 家永教授讨回公道 日高法裁定删除“731部队”违法

************************************************************
08月30日

1871年8月30日 英国物理学家卢瑟福诞辰
1900年8月30日 张闻天诞辰
1929年8月30日 农民运动领导人彭湃被害
1953年8月30日 邱少云被追认为中共党员
1956年8月30日 毛泽东论“球籍”
1980年8月30日 全国人大五届三次会议举行 修改宪法取消“四大”
1981年8月30日 伊朗总统拉贾伊被炸身亡
1996年8月30日 《世纪伟人邓小平》画册出版  精选邓小平各个时期珍贵历史照片305幅
1996年8月30日 史学家钱穆在台北逝世
1928年8月30日 黄洋界保卫战
1999年8月30日 家乐福兼并普罗莫代斯组成世界第二大零售集团
2002年8月30日 首届中国国际装备制造业博览会开幕
2002年8月30日 我国最大的企业博士后工作站开站
2002年8月30日 首届中国科学家论坛举行

************************************************************
08月31日

1907年8月31日 英、法、俄三国协约形成
1935年8月31日 美国通过《中立法案》
1944年8月31日 毛泽东论述新民主主义社会基础问题
1959年8月31日 北京工人体育场建成
1965年8月31日 联合国宪章修正案生效
1991年8月31日 全国清理“三角债”工作会议召开
1993年8月31日 我国最大海上油田投产
1997年8月31日 英国王妃戴安娜魂断巴黎
1967年8月31日 苏联作家爱伦堡逝世
1957年8月31日 马来西亚独立

************************************************************
09月01日


************************************************************
10月01日

1931年10月1日 我国收回英租界威海卫
1949年10月1日 中华人民共和国第一次国庆阅兵
1955年10月1日 新疆维吾尔自治区成立
1949年10月1日 中央人民政府委员会举行第一次会议
1960年10月1日 尼日利亚独立
1960年10月1日 中缅边界条约签订
1985年10月1日 以色列飞机空袭巴解总部
1992年10月1日 伦敦发表第一张染色体图  被认为是遗传学上的一个里程碑
1997年10月1日 哈马斯创始人亚辛获释
1998年10月1日 中国火车再提速
2000年10月1日 中华世纪坛正式开放
1999年10月1日 国庆五十周年　首都举行盛大阅兵式
1982年10月1日 科尔出任西德总理 成为战后德国在任时间最长的政府总理
1949年10月1日 中华人民共和国开国大典

************************************************************
10月02日

1890年10月2日 中共创始人之一李达诞生
1895年10月2日 天津中西学堂（天津大学前身）开学
1909年10月2日 京张铁路正式通车
1932年10月2日 “九・一八”事变调查报告书发表
1941年10月2日 莫斯科保卫战
1949年10月2日 广东战役开始
1964年10月2日 音乐舞蹈史诗《东方红》在京公演
1986年10月2日 国家教委颁布《中小学教师考核合格证书制度》
1925年10月2日 英国发明家贝尔德发明电视
1991年10月2日 香港科技大学落成开学
1995年10月2日 首家中韩合资银行成立
1996年10月2日 冰岛冰川火山爆发造成河水暴涨
1869年10月2日 印度民族解放运动领袖甘地诞辰
1996年10月2日 中东问题首脑会晤未获突破
1997年10月2日 欧盟正式签署阿姆斯特丹条约

************************************************************
10月03日

1207年10月3日 爱国词人辛弃疾逝世
1877年10月3日 李鸿章筹办开平矿务局
1897年10月3日 法国作家阿拉贡诞辰
1928年10月3日 国民政府宣告进入训政时期
1945年10月3日 世界工会联合会成立
1935年10月3日 意大利法西斯发动侵略埃塞俄比亚的战争
1947年10月3日 德国物理学家普朗克逝世
1949年10月3日 我国与俄罗斯建交
1950年10月3日 中国人民大学正式成立
1986年10月3日 苏联一核潜艇起火沉没
1990年10月3日 我国与新加坡建交
1990年10月3日 民主德国正式加入联邦德国　两德实现统一
1992年10月3日 我国水稻遗传工程育种获重大突破
1993年10月3日 我影片《找乐》获第六届东京国际电影节金奖
1993年10月3日 萧山发生江潮卷走观潮者重大事故  死亡19人 40人下落不明
1994年10月3日 联合国确认卢旺达发生大屠杀
1995年10月3日 马其顿总统遇刺受伤
1997年10月3日 我国规模最大的软件园――东大软件园投入使用
1998年10月3日 霍华德连任澳大利亚联邦总理
1912年10月3日 《民国服制》公布
1999年10月3日 索尼公司创始人盛田昭夫逝世
1995年10月3日 辛普森被判无罪

************************************************************
10月04日

1904年10月4日 自由女神的雕塑者巴托尔迪逝世
1947年10月4日 人类首次突破音速
1949年10月4日 我国与保加利亚建交
1959年10月4日 我国与几内亚建交
1975年10月4日 我国与孟加拉国建交
1985年10月4日 北京大钟寺古钟博物馆建立
1986年10月4日 中国男排首次获得亚运会冠军
1991年10月4日 南极环保议定书通过
1993年10月4日 穆巴拉克总统三连任
1993年10月4日 莫斯科十月事件结束政变
1994年10月4日 马拉多纳开始教练生涯
1995年10月4日 我国第一条沙漠公路全线通车
1998年10月4日 美国科学家透露克隆自己的计划
2000年10月4日 世界著名中学校长论坛在京举行
1957年10月4日 苏联发射人类第一颗人造地球卫星
1816年10月4日 《国际歌》作者鲍狄埃诞辰

************************************************************
10月05日

1903年10月5日 孙中山建立中华革命军
1908年10月5日 保加利亚独立
1900年10月5日 女作家冰心诞辰
1910年10月5日 墨西哥革命爆发
1948年10月5日 太原战役开始
1949年10月5日 我国与罗马尼亚建交
1954年10月5日 我国与挪威建交
1958年10月5日 法兰西第五共和国宣告成立
1971年10月5日 京剧表演艺术家裘盛荣逝世
1993年10月5日 中共中央、国务院发布《关于反腐败斗争近期抓好几项工作的决定》
1998年10月5日 “银河Ⅲ”巨型机首次装备部队  我军事气象保障能力又有提高
1938年10月5日 德军占领苏台德地区
1999年10月5日 首届中国国际高新技术成果交易会在深圳举行
1909年10月5日 张之洞病逝

************************************************************
10月06日

1866年10月6日 清政府批准筹设天津机器局
1905年10月6日 俄国爆发铁路工人大罢工
1913年10月6日 中、英西姆拉会商“西藏问题”
1949年10月6日 我国与匈牙利建交
1949年10月6日 我国与朝鲜建交
1973年10月6日 第四次中东战争――斋月战争爆发
1981年10月6日 埃及总统萨达特遇刺身亡
1998年10月6日 军队武警部队政法机关不再从事经商活动工作会议召开
1999年10月6日 促进全面禁核试条约生效大会举行
2000年10月6日 中国飞行员穿越太湖大桥桥洞
1976年10月6日 粉碎“四人帮”
1940年10月6日 黄桥决战取得胜利

************************************************************
10月07日

1864年10月7日 中俄签订《勘分西北界约记》
1860年10月7日 英法侵略军火烧圆明园
1888年10月7日 清政府发展海军　北洋海军正式建立
1895年10月7日 中国民主建国会创建人胡厥文诞辰
1913年10月7日 亨利・福特建立了第一条装配线
1931年10月7日 南非著名黑人图图主教诞辰
1949年10月7日 德意志民主共和国建立
1949年10月7日 我国与波兰建交
1969年10月7日 历史学家陈寅恪逝世
1978年10月7日 《中国青年报》复刊
1981年10月7日 邮电部作出六项决定　随时准备与台湾通邮通电
1982年10月7日 我国向预定海域发射运载火箭成功
1985年10月7日 意大利一豪华客轮被劫持
1985年10月7日 中国成为“南极条约”协商国
1986年10月7日 美发明防止核反应堆爆炸装置
1986年10月7日 北京第一所弱智儿童养育院开学
1986年10月7日 美国发现最古老的恐龙化石
1989年10月7日 我国政府抗议将诺贝尔和平奖授予达赖
1992年10月7日 戈尔巴乔夫基金会风波
1993年10月7日 《明报》记者席扬因窃取国家秘密被逮捕
